Deal Number,Acquiror ticker symbol,Announced date,Deal value th USD,DlyCap_Minus_50,Relative_Size,Model,evtdate,cret,car,bhar,nrets_est
2007786857.0,AJG,2024-12-09,13450000.0,60907609.0,0.220826268192534,Market Model,2024-12-09,-0.063463429,-0.064894557,-0.063534702,250.0
2007788291.0,ON,2024-12-09,115000.0,31407061.92,0.0036615968820301,Market Model,2024-12-09,0.0091268634,0.0332776469,0.0328443941,250.0
2007787612.0,INDB,2024-12-09,562000.0,2509895.64,0.2239136922840345,Market Model,2024-12-09,-0.011759765,-0.0043118,-0.00435414,250.0
2007786809.0,OMC,2024-12-09,13300000.0,20149890.51,0.6600532143536694,Market Model,2024-12-09,-0.103548575,-0.099944333,-0.099821103,250.0
2007789455.0,GEN,2024-12-10,1479794.0,16921520.0,0.0874504181657439,Market Model,2024-12-10,-0.039486356,-0.041213949,-0.040841139,250.0
2007816967.0,SGU,2024-12-12,68000.0,419398.1,0.1621371198391218,Market Model,2024-12-12,-0.001702128,-0.002333607,-0.002327794,250.0
2007792872.0,UPBD,2024-12-12,460000.0,1628846.88,0.282408374690198,Market Model,2024-12-12,-0.055176505,-0.056190547,-0.055929235,250.0
2007793383.0,VIAV,2024-12-13,325000.0,2009508.0,0.1617311302069959,Market Model,2024-12-13,0.0608365019,0.0660888585,0.0663185595,250.0
2007794079.0,BBT,2024-12-16,1100000.0,40545398.88,0.0271300820903405,,,,,,
2007796349.0,NWBI,2024-12-17,270400.0,1654926.0,0.1633909915005263,Market Model,2024-12-17,-0.070481507,-0.044862458,-0.044198032,250.0
2007798574.0,FCF,2024-12-18,54600.0,1672611.42,0.0326435652340577,Market Model,2024-12-18,-0.086009799,-0.055968999,-0.054106325,250.0
2007800102.0,TRIP,2024-12-19,435000.0,1821640.15,0.2387957907054255,Market Model,2024-12-19,0.0222386953,0.0586491916,0.0560414227,250.0
2007803130.0,SPXC,2024-12-23,350000.0,7596083.6,0.046076375462745,Market Model,2024-12-23,0.024160324,-0.023029183,-0.02360275,250.0
2007806470.0,BAC,2024-12-27,906000.0,326988574.78,0.0027707390101001,Market Model,2024-12-27,-0.010590356,0.0062646496,0.0061950186,250.0
2007807390.0,WAB,2024-12-30,69000.0,33244477.91,0.0020755326700211,Market Model,2024-12-30,-0.022026204,-0.004017764,-0.003957625,250.0
2007812130.0,SYK,2025-01-06,4900000.0,139481071.5,0.0351302147833012,Market Model,2025-01-06,-0.009868421,-0.015993465,-0.016084666,250.0
2007812941.0,PSX,2025-01-06,2200000.0,55012523.67,0.0399908939498394,Market Model,2025-01-06,0.0068175859,0.0025028514,0.0024279516,250.0
2007810945.0,PAYX,2025-01-07,4100000.0,50900374.14,0.0805495061533942,Market Model,2025-01-07,0.0041526455,0.0059416831,0.0053293188,250.0
2007840848.0,ITGR,2025-01-07,152000.0,4242677.43,0.0358264333095905,Market Model,2025-01-07,-0.00575099,-0.006070352,-0.006075409,250.0
2007813426.0,RYAN,2025-01-07,525000.0,8369278.08,0.0627294248060162,Market Model,2025-01-07,-0.026131294,-0.029755243,-0.029694984,250.0
2007825003.0,KRP,2025-01-07,230000.0,1298758.8,0.1770921590675651,Market Model,2025-01-07,-0.063221884,-0.060779319,-0.060248028,250.0
2007815078.0,FLO,2025-01-08,795000.0,4694207.13,0.1693576738272305,Market Model,2025-01-08,-0.056603774,-0.053469683,-0.05298813,250.0
2007535884.0,CEG,2025-01-10,29100000.0,82678098.49,0.3519674560914058,Market Model,2025-01-10,0.0923600516,0.1341194921,0.1061740007,250.0
2007816862.0,CCNE,2025-01-10,214000.0,529074.0,0.4044802806412713,Market Model,2025-01-10,-0.033167496,-0.01953955,-0.019583131,250.0
2007819309.0,GBCI,2025-01-13,245400.0,5901075.8,0.0415856376561033,Market Model,2025-01-13,0.0327568667,0.0477198999,0.0464327492,250.0
2007820216.0,EME,2025-01-14,865000.0,20379311.03,0.042445007033194,Market Model,2025-01-14,0.0748972251,0.0409644695,0.041882208,250.0
2007829485.0,CADE,2025-01-22,103600.0,6211627.44,0.0166783988577396,Market Model,2025-01-22,-0.039831697,-0.06877816,-0.069396881,250.0
2007831886.0,CARS,2025-01-23,113000.0,1109796.2,0.1018204964118637,Market Model,2025-01-23,-0.003399433,-0.006369533,-0.007328412,250.0
2007833711.0,CNX,2025-01-27,505000.0,5696181.36,0.0886558850717491,Market Model,2025-01-27,-0.024912281,-0.023614086,-0.02346956,250.0
