,Deal Number,Acquiror name,Acquiror country code,Target name,Target country code,Deal type,Deal status,Deal value th USD,Last deal status date,Acquired stake (%),Initial stake (%),Final stake (%),Target primary NAICS 2017 code,Acquiror primary NAICS 2017 code,Acquiror ticker symbol,Target ticker symbol,Announced date,Deal method of payment,Target listed,Deal method of payment value th USD
52.,2008547865,WATERS CORPORATION,US,BECTON DICKINSON AND COMPANY'S BIOSCIENCES AND DIAGNOSTICS SOLUTIONS BUSINESS,US,Acquisition 100%,Completed,"18,800,000.00",09.02.2026,100.00000,0.00000,100.00000,339112,334516,WAT,,14.07.2025,Shares,Unlisted,"14,800,000"
,,,,,,,,,,,,,,,,,,Cash,,"4,000,000"
53.,1941419433,TELADOC HEALTH INC.,US,LIVONGO HEALTH INC.,US,Acquisition 100%,Completed,"18,500,000.00",30.10.2020,100.00000,0.00000,100.00000,518210,518210,TDOC,LVGO,05.08.2020,Cash,Delisted,"1,108,267"
,,,,,,,,,,,,,,,,,,Shares,,"14,443,658"
54.,2007486162,"HOME DEPOT INC., THE",US,SHINGLE ACQUISITION HOLDINGS INC.,US,Acquisition 100%,Completed,"18,250,000.00",18.06.2024,100.00000,0.00000,100.00000,551112,444110,HD,,28.03.2024,Cash,Unlisted,"18,250,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
55.,2007022869,JOHNSON & JOHNSON,US,ABIOMED INC.,US,Acquisition 100%,Completed,"18,191,131.00",22.12.2022,100.00000,0.00000,100.00000,334510,325412,JNJ,ABMD,01.11.2022,Cash,Delisted,"18,191,131"
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
,,,,,,,,,,,,,,,,,,Cash assumed,,n.a.
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
,,,,,,,,,,,,,,,,,,Earn-out,,"1,591,131"
56.,1941211603,WELLINGTON MERGER SUB II INC.,US,WELLCARE HEALTH PLANS INC.,US,Acquisition 100%,Completed,"17,300,000.00",23.01.2020,100.00000,0.00000,100.00000,621491,621491,,WCG,27.03.2019,Cash,Delisted,n.a.
,,,,,,,,,,,,,,,,,,Shares,,n.a.
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
57.,1939045146,ELDORADO RESORTS INC.,US,CAESARS ENTERTAINMENT CORPORATION,US,Acquisition 100%,Completed,"17,300,000.00",20.07.2020,100.00000,0.00000,100.00000,721120,713210,CZR,CZR,24.06.2019,Cash,Delisted,"7,200,000"
,,,,,,,,,,,,,,,,,,Shares,,n.a.
,,,,,,,,,,,,,,,,,,Liabilities,,"8,790,000"
58.,1941572090,VICI PROPERTIES INC.,US,MGM GROWTH PROPERTIES LLC,US,Acquisition 100%,Completed,"17,200,000.00",29.04.2022,100.00000,0.00000,100.00000,721120,531120,VICI,MGP,04.08.2021,Shares,Delisted,"7,100,000"
,,,,,,,,,,,,,,,,,,Cash,,"4,400,000"
,,,,,,,,,,,,,,,,,,Liabilities,,"5,700,000"
59.,2007092665,CREEK PARENT INC.,US,CATALENT INC.,US,Acquisition 100%,Completed,"16,500,000.00",18.12.2024,100.00000,0.00000,100.00000,541713,541713,,CTLT,05.02.2024,Cash,Delisted,n.a.
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
60.,1941143334,HARRIS CORPORATION,US,L3 TECHNOLOGIES INC.,US,Acquisition 100%,Completed,"15,703,802.00",29.06.2019,100.00000,0.00000,100.00000,334511,334220,LHX,LLL,12.10.2018,Shares,Delisted,"15,703,802"
61.,1939044656,SALESFORCE.COM INC.,US,TABLEAU SOFTWARE INC.,US,Acquisition 100%,Completed,"15,700,000.00",01.08.2019,100.00000,0.00000,100.00000,541511,518210,CRM,DATA,10.06.2019,Shares,Delisted,n.a.
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
