Deal Number,Acquiror ticker symbol,Announced date,Deal value th USD,DlyCap,Relative_Size,Model,evtdate,Percent_Stock,Public_Target,Same_Industry,Log_Acq_Size,cret,car,bhar,nrets_est
2007006855.0,BXC,2022-10-03,67000.0,576412.2,0.1162362628688289,Market Model,2022-10-03,0.0,0,1,13.264578308740552,-0.036643357,0.065813465,0.0527499051,250
2007064335.0,PB,2022-10-11,336280.0,6230760.03,0.0539709438946246,Market Model,2022-10-11,0.72790531699774,0,1,15.64500887850742,0.035008179,0.0908182063,0.0870136229,250
2007012350.0,FANG,2022-10-11,1597217.0,24642785.61,0.0648147910417989,Market Model,2022-10-11,0.5147810222405597,0,1,17.019994742593553,0.032612652,0.0839635338,0.0728967472,250
2007012868.0,LECO,2022-10-14,427000.0,7198773.84,0.0593156570119446,Market Model,2022-10-14,0.0,0,1,15.789421269483592,-0.036038766,-0.009302351,-0.012002504,250
2007094238.0,CTO,2022-10-17,93900.0,327324.79,0.2868710310636723,Market Model,2022-10-17,0.0,0,0,12.698708198531554,-0.060235064,-0.073504475,-0.076059059,250
2007015124.0,PGTI,2022-10-17,185000.0,1311640.36,0.1410447601658125,Market Model,2022-10-17,0.0,0,1,14.086789095055895,0.0609514371,0.1007931839,0.0887537182,250
2007015012.0,CHCO,2022-10-18,62100.0,1411914.24,0.0439828413374455,Market Model,2022-10-18,1.0,0,0,14.160456958646876,0.1641653539,0.1398555565,0.1498143304,250
2007014771.0,LLY,2022-10-18,610000.0,316180233.0,0.0019292793676953,Market Model,2022-10-18,0.0,1,0,19.571822966554052,0.1514962798,0.1047736147,0.1091109846,250
2007095552.0,PARR,2022-10-20,310000.0,1196960.31,0.2589893728389373,Market Model,2022-10-20,0.0,0,0,13.99529582609564,0.4043982896,0.3218730349,0.3653915903,250
2007018175.0,PEBO,2022-10-25,211844.0,869057.67,0.2437628793955641,Market Model,2022-10-25,1.0,1,1,13.675164765681924,0.037303217,0.0031325276,-0.002512521,250
2007020969.0,VSH,2022-10-28,107500.0,2671099.2,0.0402456037574343,Market Model,2022-10-28,0.0,0,1,14.79800063105051,0.1641791045,0.1165153349,0.1219660967,250
2007022979.0,VSCO,2022-11-01,700000.0,3054849.6,0.2291438504861254,Market Model,2022-11-01,0.0,0,1,14.932240918606729,0.3388320686,0.2822019541,0.3192421006,244
2007029467.0,VOYA,2022-11-01,570000.0,6693742.84,0.0851541527101749,Market Model,2022-11-01,0.0,1,0,15.716683743523095,0.088005111,0.0470215382,0.0461749072,250
2007022761.0,NX,2022-11-01,92000.0,734138.64,0.1253169292383248,Market Model,2022-11-01,0.0,0,0,13.506453172594323,0.1689708141,0.1154059837,0.1208831439,250
2007022204.0,MYGN,2022-11-01,100000.0,1680645.16,0.0595009597385804,Market Model,2022-11-01,0.0,0,0,14.334688301470695,-0.080694586,-0.110894987,-0.134280474,250
2007106686.0,WTTR,2022-11-01,101380.0,946800.1,0.1070764567937836,Market Model,2022-11-01,0.8757151311895838,0,0,13.760843262240888,0.2913557342,0.2070162727,0.2246118909,250
2007022869.0,JNJ,2022-11-01,18191131.0,454841781.48,0.0399944150706829,Market Model,2022-11-01,0.0,1,0,19.935460183431093,0.0651960784,0.048573916,0.0492904989,250
2007485560.0,HST,2022-11-02,315000.0,13483014.0,0.0233627288379289,Market Model,2022-11-02,0.0,0,1,16.416941228960255,-0.002967359,-0.006620349,-0.007895644,250
2007023403.0,MRO,2022-11-02,3000000.0,20957673.12,0.1431456623463168,Market Model,2022-11-02,0.0,0,1,16.858015395987287,0.1558490566,0.0706688842,0.0712217695,250
2007030429.0,LPLA,2022-11-03,140000.0,20609236.0,0.0067930708348431,Market Model,2022-11-03,0.0,0,1,16.84124988279576,0.0056128678,-0.100579014,-0.10472507,250
2007061060.0,KRP,2022-11-03,270700.0,1113960.76,0.2430067644393506,Market Model,2022-11-03,0.444403398596232,0,1,13.923432474432454,0.0005464481,-0.075699801,-0.082276107,250
