Deal Number,Acquiror ticker symbol,Announced date,Deal value th USD,DlyCap,Relative_Size,Model,evtdate,cret,car,bhar,nrets_est,Percent_Stock,Public_Target,Same_Industry,Log_Acq_Size
2007773269.0,AIT,2024-11-22,273000.0,10351085.81,0.0263740447148317,Market Model,2024-11-22,0.0482050124,0.0287276393,0.0292172926,250.0,0.0,0,0,16.152601981351815
2007774905.0,SNDR,2024-11-25,390000.0,2913999.46,0.1338366754536049,Market Model,2024-11-25,0.0595351799,0.0523564227,0.0531899756,250.0,0.0,0,1,14.885037080424985
2007760837.0,ONB,2024-11-25,1401000.0,6905743.8,0.2028745983886631,Market Model,2024-11-25,0.0935727788,0.0764443778,0.0784827791,250.0,0.0,0,1,15.747864058068421
2007780292.0,THS,2024-12-02,205000.0,1758208.0,0.1165959886429819,Market Model,2024-12-02,-0.009229882,-0.010933938,-0.011410059,250.0,0.0,0,0,14.379805666496928
2007782310.0,UCB,2024-12-03,80000.0,4028321.99,0.0198593856694161,Market Model,2024-12-03,0.0056196392,-0.006087743,-0.00612192,250.0,1.0,0,1,15.208860467560182
2007944863.0,IPG,2024-12-05,100000.0,10892163.16,0.0091809127839028,Market Model,2024-12-05,-0.021404682,-0.027018894,-0.027089033,250.0,0.0,0,0,16.20355411246528
2007786857.0,AJG,2024-12-09,13450000.0,65098174.0,0.2066110179987537,Market Model,2024-12-09,-0.063463429,-0.064894557,-0.063534702,250.0,0.0,0,1,17.991407057630266
2007788291.0,ON,2024-12-09,115000.0,28324016.44,0.0040601586375862,Market Model,2024-12-09,0.0091268634,0.0332776469,0.0328443941,250.0,0.0,0,1,17.159220640180127
2007787612.0,INDB,2024-12-09,562000.0,3049722.61,0.1842790548088568,Market Model,2024-12-09,-0.011759765,-0.0043118,-0.00435414,250.0,0.951779359430605,1,1,14.930561196906632
2007786809.0,OMC,2024-12-09,13300000.0,20176518.06,0.6591821225272405,Market Model,2024-12-09,-0.103548575,-0.099944333,-0.099821103,250.0,1.0,1,1,16.820030013899217
2007789455.0,GEN,2024-12-10,1479794.0,18781928.4,0.0787881823678978,Market Model,2024-12-10,-0.039486356,-0.041213949,-0.040841139,250.0,0.3848461339889201,1,1,16.74840571017885
2007816967.0,SGU,2024-12-12,68000.0,408306.58,0.166541523773631,Market Model,2024-12-12,-0.001702128,-0.002333607,-0.002327794,250.0,0.0,0,1,12.919773592779086
2007792872.0,UPBD,2024-12-12,460000.0,1843937.0,0.2494662236291153,Market Model,2024-12-12,-0.055176505,-0.056190547,-0.055929235,250.0,0.1766304347826087,0,0,14.427413517656042
2007793383.0,VIAV,2024-12-13,325000.0,2464342.43,0.13188102271972,Market Model,2024-12-13,0.0608365019,0.0660888585,0.0663185595,250.0,0.0,0,0,14.71743556719395
2007796349.0,NWBI,2024-12-17,270400.0,1839656.0,0.1469840013567754,Market Model,2024-12-17,-0.070481507,-0.044862458,-0.044198032,250.0,1.0,1,1,14.42508915558488
2007798574.0,FCF,2024-12-18,54600.0,1815808.72,0.0300692465008098,Market Model,2024-12-18,-0.086009799,-0.055968999,-0.054106325,250.0,1.0,0,1,14.412041502199264
2007800102.0,TRIP,2024-12-19,435000.0,1638641.2,0.2654638489499715,Market Model,2024-12-19,0.0222386953,0.0586491916,0.0560414227,250.0,0.0,0,1,14.309377919788872
2007803130.0,SPXC,2024-12-23,350000.0,6654834.45,0.0525933443768837,Market Model,2024-12-23,0.024160324,-0.023029183,-0.02360275,250.0,0.0,0,0,15.710854133468878
2007806470.0,BAC,2024-12-27,906000.0,341826804.0,0.0026504650583223,Market Model,2024-12-27,-0.010590356,0.0062646496,0.0061950186,250.0,0.0,0,1,19.649814745699796
2007807390.0,WAB,2024-12-30,69000.0,33002880.0,0.0020907266274943,Market Model,2024-12-30,-0.022026204,-0.004017764,-0.003957625,250.0,0.0,0,1,17.312105388349984
2007812130.0,SYK,2025-01-06,4900000.0,137817208.32,0.035554340852868,Market Model,2025-01-06,-0.009868421,-0.015993465,-0.016084666,250.0,0.0,1,1,18.741438787702112
